StartDate,EndDate,Progress,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q134,Q138,Q140,Q85,Q224_1,Q224_2,Q224_3,Q227,Q252,Q253_1,Q253_2,Q253_3,Q230,Q256,Q257_1,Q257_2,Q257_3,Q231,Q260,Q261_1,Q261_2,Q261_3,Q232,Q268,Q269_1,Q269_2,Q269_3,Q228,Q272,Q273_1,Q273_2,Q273_3,Q235,Q276,Q277_1,Q277_2,Q277_3,Q236,Q280,Q281_1,Q281_2,Q281_3,Q237,Q292,Q293_1,Q293_2,Q293_3,Q229,Q296,Q297_1,Q297_2,Q297_3,Q239,Q300,Q301_1,Q301_2,Q301_3,Q240,Q304,Q305_1,Q305_2,Q305_3,Q241,Q178_1,Q178_2,Q178_3,Q178_4,Q178_5,Q242,RandomID
Start Date,End Date,Progress,Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,How old are you (in years)?,What is your gender?,Please specify your ethnicity (please select all that apply),What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,"Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - Most people can be trusted","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - Computers can eliminate a lot of tedious work for people.","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - Computers are lessening the importance of too many jobs now done by humans.","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - I am interested in using artificially intelligent systems in my daily life","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - People like me will suffer if Artificial Intelligence is used more and more",You were presented a few emails in this survey. Please pick the option that shows the general format of the bolded instruction sentence preceding each email.,RandomID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID247_TEXT""}","{""ImportId"":""QID249""}","{""ImportId"":""QID250""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID340_1""}","{""ImportId"":""QID340_2""}","{""ImportId"":""QID340_3""}","{""ImportId"":""QID343""}","{""ImportId"":""QID252_TEXT""}","{""ImportId"":""QID253_1""}","{""ImportId"":""QID253_2""}","{""ImportId"":""QID253_3""}","{""ImportId"":""QID346""}","{""ImportId"":""QID256_TEXT""}","{""ImportId"":""QID257_1""}","{""ImportId"":""QID257_2""}","{""ImportId"":""QID257_3""}","{""ImportId"":""QID347""}","{""ImportId"":""QID260_TEXT""}","{""ImportId"":""QID261_1""}","{""ImportId"":""QID261_2""}","{""ImportId"":""QID261_3""}","{""ImportId"":""QID350""}","{""ImportId"":""QID268_TEXT""}","{""ImportId"":""QID269_1""}","{""ImportId"":""QID269_2""}","{""ImportId"":""QID269_3""}","{""ImportId"":""QID344""}","{""ImportId"":""QID272_TEXT""}","{""ImportId"":""QID273_1""}","{""ImportId"":""QID273_2""}","{""ImportId"":""QID273_6""}","{""ImportId"":""QID351""}","{""ImportId"":""QID276_TEXT""}","{""ImportId"":""QID277_1""}","{""ImportId"":""QID277_2""}","{""ImportId"":""QID277_3""}","{""ImportId"":""QID352""}","{""ImportId"":""QID280_TEXT""}","{""ImportId"":""QID281_1""}","{""ImportId"":""QID281_2""}","{""ImportId"":""QID281_3""}","{""ImportId"":""QID353""}","{""ImportId"":""QID292_TEXT""}","{""ImportId"":""QID293_1""}","{""ImportId"":""QID293_2""}","{""ImportId"":""QID293_3""}","{""ImportId"":""QID345""}","{""ImportId"":""QID296_TEXT""}","{""ImportId"":""QID297_1""}","{""ImportId"":""QID297_2""}","{""ImportId"":""QID297_3""}","{""ImportId"":""QID355""}","{""ImportId"":""QID300_TEXT""}","{""ImportId"":""QID301_1""}","{""ImportId"":""QID301_2""}","{""ImportId"":""QID301_3""}","{""ImportId"":""QID356""}","{""ImportId"":""QID304_TEXT""}","{""ImportId"":""QID305_1""}","{""ImportId"":""QID305_2""}","{""ImportId"":""QID305_3""}","{""ImportId"":""QID357""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID182_2""}","{""ImportId"":""QID182_3""}","{""ImportId"":""QID182_4""}","{""ImportId"":""QID182_5""}","{""ImportId"":""QID358""}","{""ImportId"":""RandomID""}"
3/8/2021 4:20,3/8/2021 4:38,100,TRUE,3/8/2021 4:38,R_1dLJXiNp0kNdZPb,,,,,anonymous,EN,49,Female,Black or African American,drew is asking the company for more info about which items to order and what other supplies she needs,Neither agree nor disagree,Somewhat agree,Somewhat disagree,I know this is true,charlie wants to know if they will offer student discounts on the raspberry pis if he orders more of them,Somewhat agree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,london is asking for a price list (and any discounts for bigger orders) from an office supply company,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,I am not sure but it seems right,kyle is asking  a company about their shipping details and policies after she orders/receives the product,Somewhat agree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,sage is inviting alex to her graduation party,Somewhat agree,Somewhat agree,Somewhat disagree,I never invite people or receive invitations to parties,bailey is inviting jules and her brother to her birthday party,Somewhat agree,Somewhat agree,Somewhat disagree,I never invite people or receive invitations to parties,arden is inviting an investor to speak at the fundraising party,Somewhat agree,Somewhat agree,Somewhat agree,I never invite people or receive invitations to parties,rory needs to know his parents availability times for next friday for anniversary dinner,Somewhat agree,Somewhat agree,Somewhat disagree,I never invite people or receive invitations to parties,quinn is sending well wishes to elliott because his pet died,Somewhat agree,Somewhat agree,Somewhat agree,I never interact with pet(s),"dave is sending  condolences to maddie, it sounds like her pet rabbit passed away",Strongly agree,Somewhat agree,Somewhat agree,I never interact with pet(s),john is sending condolences to angie about her cat who passed away,Somewhat agree,Somewhat agree,Somewhat agree,I never interact with pet(s),jon is consoling maddie about the loss of her dog,Strongly agree,Somewhat agree,Somewhat agree,I never interact with pet(s),Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,The following email was written by an advanced AI system on behalf of [name],94697
3/8/2021 4:35,3/8/2021 4:47,100,TRUE,3/8/2021 4:47,R_1d6VXa43LyB762j,,,,,anonymous,EN,53,Female,White,Drew is asking about growing tomatoes in winter in an apartment and asking for advice and information.,Strongly disagree,Somewhat disagree,Somewhat disagree,I am not sure but it seems right,Charlie is requesting a student discount to buy Raspberry Pis for a research project.,Somewhat disagree,Somewhat agree,Neither agree nor disagree,I am not sure but it seems right,London is asking about pricing and products my stationery business offers.,Somewhat disagree,Somewhat agree,Somewhat agree,I am not sure but it seems right,Kyle is asking about the products my company offers for hobbyist bio researchers that he learned about from a Netflix special.,Somewhat agree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,Sage is inviting me to a graduation party at a beachhouse.,Somewhat agree,Somewhat agree,Somewhat agree,I rarely invite people or receive invitations to parties,Bailey is inviting me to a birthday party on the upcoming weekend.,Strongly agree,Strongly agree,Somewhat disagree,I rarely invite people or receive invitations to parties,Arden is inviting me to a fundraiser completion party for an announcement about their project.,Strongly agree,Strongly agree,Somewhat agree,I rarely invite people or receive invitations to parties,"Rory is inviting me and ""dad"" to an anniversary party on their boat.",Strongly agree,Strongly agree,Somewhat disagree,I rarely invite people or receive invitations to parties,"Quinn was writing to me about the death of my dog, Spot and was extending his sympathies.",Somewhat agree,Somewhat agree,Somewhat agree,I am a long time pet owner,Dave is telling me he's sad about the death of my rabbit and that he liked him.,Somewhat disagree,Somewhat disagree,Somewhat disagree,I am a long time pet owner,"John is offering me condolences on the death of my cat, Fluffy.",Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Jon is sending me condolences on the death of my dog.,Somewhat agree,Somewhat agree,Somewhat agree,I am a long time pet owner,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,The following email was written by an advanced AI system on behalf of [name],86496
3/8/2021 4:22,3/8/2021 4:50,100,TRUE,3/8/2021 4:50,R_b1mYH45Ix5p2wEx,,,,,anonymous,EN,35,Male,Asian,"its all about the asking info for growing tomatoes(any particular type) inside the apartment in winter,",Strongly agree,Strongly agree,Strongly disagree,I am not sure but it seems right,its about asking for the any student offers/discounts on purchasing few Raspberry Pis.,Somewhat agree,Strongly agree,Somewhat disagree,I know this is true,its all about asking further discounts on bulk buying of stationery products ,Strongly agree,Somewhat agree,Strongly disagree,I am not sure,"This email is regarding the inquiry of a product (CRISPR Cas9 gene editing modules) by Kyle, he is interested in the information regarding the payment details ,and shipping details.
     Payment will be charged instantly after order placing or at the time of product delivery.",Strongly agree,Strongly agree,Somewhat disagree,I know this is wrong,its for invitation to Alex from Sage for the celebration of completing gruduation,Somewhat agree,Somewhat agree,Strongly disagree,I sometimes invite people or receive invitations to parties,Its an birthday invitation from Bailey to Jules and for his brother.,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,its an invitation to Riley from Arden to come on a fundraiser completion party for the purchasing of Snowflake IPO.,Somewhat disagree,Strongly disagree,Somewhat agree,I often invite people or receive invitations to parties,its an anniversery invitation for next week  from Rory to Mum ,Somewhat agree,Strongly agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,this is an apologize email from Quinn to Elliott telling if need any help then Elliott can communicate back.,Somewhat disagree,Strongly disagree,Strongly disagree,I never interact with pet(s),Its about the condolence send by Dave to Maddie on his rabbit's death. ,Somewhat agree,Strongly agree,Somewhat agree,I am a long time pet owner,This is a condolence email from John to Angie on his cat's death.,Neither agree nor disagree,Strongly disagree,Somewhat disagree,I am a long time pet owner,"This is an apologize email from Jon to Maddie , sending condolence of loss of Maddie's dog ,and also telling if Maddie needs any help then he can contact him.",Somewhat agree,Somewhat agree,Somewhat agree,I am a long time pet owner,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,The following email was written by an advanced AI system on behalf of [name],38975
3/8/2021 4:29,3/8/2021 4:52,100,TRUE,3/8/2021 4:52,R_REpCRHdoCEAaoQ9,,,,,anonymous,EN,39,Female,Asian,Growth of tomato,Somewhat agree,Somewhat agree,Neither agree nor disagree,I know this is true,Discount for purchase of raspberry pi ,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,I am not sure but it seems right,Asking to supply stationery products to them,Somewhat agree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,inquiring about the Advanced kit for buying ,Somewhat agree,Neither agree nor disagree,Strongly disagree,I am not sure but it seems right,College graduation celebration ,Somewhat agree,Neither agree nor disagree,Somewhat agree,I sometimes invite people or receive invitations to parties,Invitation to the birthday party,Somewhat agree,Strongly agree,Neither agree nor disagree,I sometimes invite people or receive invitations to parties,Invitation to the fundraiser completion party. ,Strongly agree,Strongly agree,Somewhat agree,I sometimes invite people or receive invitations to parties,Invitation to anniversary party and confirming my availability on next friday,Somewhat agree,Somewhat disagree,Neither agree nor disagree,I sometimes invite people or receive invitations to parties,Inquiring about the spot dieing,Strongly agree,Somewhat agree,Somewhat agree,I help look after pet(s) occasionaly,Inquiring about the death of rabbit,Somewhat agree,Somewhat agree,Strongly agree,I help look after pet(s) occasionaly,cat's death,Somewhat agree,Strongly agree,Somewhat agree,I help look after pet(s) occasionaly,Inquiring about the death of dog,Somewhat agree,Somewhat disagree,Somewhat agree,I help look after pet(s) occasionaly,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,The following email was written by an advanced AI system on behalf of [name],76139
3/8/2021 5:00,3/8/2021 5:11,100,TRUE,3/8/2021 5:11,R_cUTMr6MvySJ7Sfv,,,,,anonymous,EN,45,Male,White,This person is seeking advise on growing tomatoes indoors.,Somewhat agree,Strongly agree,Strongly disagree,I know this is true,This person is seeking a discount on supplies needed for a class project.,Strongly agree,Strongly agree,Strongly disagree,I am not sure but it seems right,This person is seeking out a new supplier.,Somewhat agree,Somewhat agree,Strongly disagree,I am not sure but it seems right,This person is asking about placing an order for a bio research kit.,Strongly agree,Strongly agree,Strongly disagree,I am not sure but it seems right,This person is throwing a graduation party.,Strongly agree,Strongly agree,Strongly disagree,I rarely invite people or receive invitations to parties,This person is inviting their friend and her brother to a party.,Strongly agree,Strongly agree,Strongly disagree,I rarely invite people or receive invitations to parties,This person is seeking investors.,Strongly agree,Strongly agree,Neither agree nor disagree,I rarely invite people or receive invitations to parties,This person is throwing a party and is checking on their mother's availability.,Strongly agree,Somewhat agree,Strongly disagree,I rarely invite people or receive invitations to parties,This person is writing that he's sorry for his friend's loss.,Strongly agree,Strongly agree,Strongly agree,I do not have a pet but often encounter one,This person is sorry to hear about the death of their friend's rabbit.,Somewhat agree,Strongly agree,Somewhat agree,I do not have a pet but often encounter one,This person is writing to a friend whose pet died.,Strongly agree,Strongly agree,Strongly agree,I do not have a pet but often encounter one,This person is expressing sympathy over the loss of a pet.,Strongly agree,Strongly agree,Strongly agree,I do not have a pet but often encounter one,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,The following email was written by an advanced AI system on behalf of [name],46500
3/8/2021 4:56,3/8/2021 5:12,100,TRUE,3/8/2021 5:12,R_2zXY18LO48IUgBd,,,,,anonymous,EN,40,Male,Asian,Drew wrote an email asking whether it was possible to grow tomatoe inside his apartment in the winter. ,Neither agree nor disagree,Somewhat agree,Strongly disagree,I am not sure but it seems right,Charlie wrote this email to inquire about student discounts when purchasing Raspberry PIs. ,Somewhat agree,Strongly disagree,Strongly disagree,I know this is true,London drafted this email to inquire about alternative suppliers for his company's stationary products ebcause his current vendors are shutting down. ,Somewhat agree,Somewhat agree,Strongly disagree,I am not sure but it seems right,Kyle is requesting to order items thorugh a company he was introduced to through a Netflix documentry. ,Somewhat agree,Somewhat agree,Somewhat agree,I am not sure,Sage invited Alex to her graduation party which will be rainforest themed. ,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,Bailey is inviting Jules to his birthday party this weekend at 9 PM. ,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,Arden invited Riley to a fundraiser completion party at the Ponce City Market office. ,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,Rory invited his parents to his first anniversary party on their boat. ,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,Quinn sent an email of condolence to Elliott who's dog died. ,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Dave sent Maddie a condolence email when her rabbit died. ,Somewhat agree,Neither agree nor disagree,Somewhat agree,I am a long time pet owner,John sent this email to Angie comforting her on her cat's death. ,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Jon sent Maddie a condolence letter when her dog died. ,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,The following email was written by an advanced AI system on behalf of [name],93713
3/8/2021 5:22,3/8/2021 5:37,100,TRUE,3/8/2021 5:37,R_3MzdZ1DTY3FjLuH,,,,,anonymous,EN,56,Female,White,Someone is asking a website if they can grow tomatoes inside in the winter and how. ,Somewhat agree,Somewhat agree,Strongly disagree,I am not sure but it seems right,Someone is asking about student discounts for a product. ,Somewhat agree,Somewhat disagree,Strongly disagree,I am not sure but it seems right,A branch manager is asking a potential new supplier about pricing and expressing interest in them. ,Somewhat agree,Somewhat disagree,Strongly disagree,I am not sure but it seems right,A person has questions about a product they saw on a documentary.,Somewhat agree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,Someone is inviting a friend to a college graduation party that is rainforest themed. ,Strongly agree,Strongly agree,Strongly disagree,I often invite people or receive invitations to parties,Someone is inviting another person to their birthday party.,Strongly agree,Strongly agree,Strongly disagree,I often invite people or receive invitations to parties,Someone is being invited to a fundraising completion party. ,Strongly agree,Strongly agree,Strongly disagree,I often invite people or receive invitations to parties,A son is inviting his parents to a first anniversary party on a boat. ,Strongly agree,Strongly agree,Strongly disagree,I often invite people or receive invitations to parties,Someone is expressing condolences for the death of a friends dog. ,Somewhat agree,Strongly agree,Strongly agree,I am a long time pet owner,Someone is expressing condolences for the death of a friends rabbit ,Somewhat agree,Strongly agree,Somewhat agree,I am a long time pet owner,A man is expressing his condolences for the death of a friends cat.,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Someone is expressing condolences for the loss of a friends dog. ,Somewhat agree,Strongly agree,Somewhat agree,I am a long time pet owner,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,The following email was written by an advanced AI system on behalf of [name],55563
3/8/2021 4:43,3/8/2021 5:42,100,TRUE,3/8/2021 5:42,R_1CBdw8eaUbYoCwy,,,,,anonymous,EN,45,Male,Asian,Growth of tomatoes in apartment.,Somewhat agree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,Asking for student offer for Raspberry Pis for research,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I am not sure but it seems right,Manager of Velocity asked for bulk price to supply stationery products for their company,Somewhat agree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,Buying of advanced kit of CRISPR Cas9 gene editing modules.,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I am not sure,Inviting for a rainforest themed party for college graduation,Somewhat agree,Neither agree nor disagree,Strongly disagree,I rarely invite people or receive invitations to parties,Inviting for a birthday party,Somewhat agree,Neither agree nor disagree,Strongly disagree,I rarely invite people or receive invitations to parties,Inviting for a rooftop party for Snowflake IPO for investment,Strongly agree,Neither agree nor disagree,Strongly disagree,I rarely invite people or receive invitations to parties,Inviting for an anniversary party and check for availability,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I rarely invite people or receive invitations to parties,Death of Spot and ready to help,Somewhat agree,Somewhat agree,Neither agree nor disagree,I help look after pet(s) occasionaly,Rabitt's death and sorrow and remember about the past,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I help look after pet(s) occasionaly,Death of cat and remembrance of it ,Somewhat agree,Somewhat agree,Somewhat agree,I help look after pet(s) occasionaly,Death of dog grievance ,Somewhat agree,Somewhat agree,Somewhat agree,I help look after pet(s) occasionaly,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,The following email was written by an advanced AI system on behalf of [name],69697
