StartDate,EndDate,Progress,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q134,Q138,Q140,Q85,Q224_1,Q224_2,Q224_3,Q227,Q252,Q253_1,Q253_2,Q253_3,Q230,Q256,Q257_1,Q257_2,Q257_3,Q231,Q260,Q261_1,Q261_2,Q261_3,Q232,Q268,Q269_1,Q269_2,Q269_3,Q228,Q272,Q273_1,Q273_2,Q273_3,Q235,Q276,Q277_1,Q277_2,Q277_3,Q236,Q280,Q281_1,Q281_2,Q281_3,Q237,Q292,Q293_1,Q293_2,Q293_3,Q229,Q296,Q297_1,Q297_2,Q297_3,Q239,Q300,Q301_1,Q301_2,Q301_3,Q240,Q304,Q305_1,Q305_2,Q305_3,Q241,Q178_1,Q178_2,Q178_3,Q178_4,Q178_5,Q242,RandomID
Start Date,End Date,Progress,Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,How old are you (in years)?,What is your gender?,Please specify your ethnicity (please select all that apply),What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy/paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,"Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - Most people can be trusted","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - Computers can eliminate a lot of tedious work for people.","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - Computers are lessening the importance of too many jobs now done by humans.","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - I am interested in using artificially intelligent systems in my daily life","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - People like me will suffer if Artificial Intelligence is used more and more",You were presented a few emails in this survey. Please pick the option that shows the general format of the bolded instruction sentence preceding each email.,RandomID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID247_TEXT""}","{""ImportId"":""QID249""}","{""ImportId"":""QID250""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID340_1""}","{""ImportId"":""QID340_2""}","{""ImportId"":""QID340_3""}","{""ImportId"":""QID343""}","{""ImportId"":""QID252_TEXT""}","{""ImportId"":""QID253_1""}","{""ImportId"":""QID253_2""}","{""ImportId"":""QID253_3""}","{""ImportId"":""QID346""}","{""ImportId"":""QID256_TEXT""}","{""ImportId"":""QID257_1""}","{""ImportId"":""QID257_2""}","{""ImportId"":""QID257_3""}","{""ImportId"":""QID347""}","{""ImportId"":""QID260_TEXT""}","{""ImportId"":""QID261_1""}","{""ImportId"":""QID261_2""}","{""ImportId"":""QID261_3""}","{""ImportId"":""QID350""}","{""ImportId"":""QID268_TEXT""}","{""ImportId"":""QID269_1""}","{""ImportId"":""QID269_2""}","{""ImportId"":""QID269_3""}","{""ImportId"":""QID344""}","{""ImportId"":""QID272_TEXT""}","{""ImportId"":""QID273_1""}","{""ImportId"":""QID273_2""}","{""ImportId"":""QID273_6""}","{""ImportId"":""QID351""}","{""ImportId"":""QID276_TEXT""}","{""ImportId"":""QID277_1""}","{""ImportId"":""QID277_2""}","{""ImportId"":""QID277_3""}","{""ImportId"":""QID352""}","{""ImportId"":""QID280_TEXT""}","{""ImportId"":""QID281_1""}","{""ImportId"":""QID281_2""}","{""ImportId"":""QID281_3""}","{""ImportId"":""QID353""}","{""ImportId"":""QID292_TEXT""}","{""ImportId"":""QID293_1""}","{""ImportId"":""QID293_2""}","{""ImportId"":""QID293_3""}","{""ImportId"":""QID345""}","{""ImportId"":""QID296_TEXT""}","{""ImportId"":""QID297_1""}","{""ImportId"":""QID297_2""}","{""ImportId"":""QID297_3""}","{""ImportId"":""QID355""}","{""ImportId"":""QID300_TEXT""}","{""ImportId"":""QID301_1""}","{""ImportId"":""QID301_2""}","{""ImportId"":""QID301_3""}","{""ImportId"":""QID356""}","{""ImportId"":""QID304_TEXT""}","{""ImportId"":""QID305_1""}","{""ImportId"":""QID305_2""}","{""ImportId"":""QID305_3""}","{""ImportId"":""QID357""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID182_2""}","{""ImportId"":""QID182_3""}","{""ImportId"":""QID182_4""}","{""ImportId"":""QID182_5""}","{""ImportId"":""QID358""}","{""ImportId"":""RandomID""}"
3/8/2021 3:06,3/8/2021 3:28,100,TRUE,3/8/2021 3:28,R_1ruENUpxpJDkMQZ,,,,,anonymous,EN,34,Male,White,This is someone who is inquiring about growing tomatoes from an expert.,Somewhat agree,Somewhat agree,Strongly disagree,I am not sure,This is a student trying to find out if he could get a discount on a Raspberry Pi.,Strongly agree,Strongly agree,Somewhat disagree,I am not sure,This is a company trying to learn more about bulk ordering and setting up suppliers for their office and what the supplier would be capable of.,Somewhat agree,Somewhat agree,Somewhat disagree,I am not sure,This is from a person who wants to order a product that will take some time to be delivered. The person is trying to find out a timeline as well as how the charges work.,Somewhat agree,Strongly agree,Strongly agree,I am not sure,This is inviting someone to an informal college graduation party.,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,A person that I recently met is inviting me and my brother to his birthday party.,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,This is from someone who is trying to start a new company that is trying to getting additional information from another person who was trying to set up the initial offering.,Strongly agree,Somewhat agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,This is someone inviting their parents to their anniversary dinner and checking their schedule.,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,This is a condolence email about a friend's pet dieing. It does also discuss fond memories of the pet.,Somewhat agree,Strongly agree,Somewhat agree,I do not have a pet but often encounter one,This is a condolence email about the loss of my pet it also reminds me to stay positive about what happened.,Somewhat agree,Strongly agree,Somewhat agree,I do not have a pet but often encounter one,It's about sending condolences for the loss of my cat and telling me how much he'll be missed.,Somewhat agree,Strongly agree,Strongly agree,I do not have a pet but often encounter one,This is sending condolences for the loss of my dog and discussing how tough the last year has been in general.,Neither agree nor disagree,Somewhat agree,Strongly agree,I do not have a pet but often encounter one,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,The following email was written by [name] with the help of a smart autocomplete system,55180
3/8/2021 3:13,3/8/2021 3:42,100,TRUE,3/8/2021 3:42,R_38YWd6YBbqdcbV7,,,,,anonymous,EN,46,Female,White,If and how tomatoes could be grown inside.,Neither agree nor disagree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,A student is looking to buy raspberry Pis for a research experiment.,Neither agree nor disagree,Somewhat agree,Somewhat disagree,I am not sure,"London, the branch manager is looking for a new vendor.",Neither agree nor disagree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,He has questions on a product he is interested in.,Neither agree nor disagree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,Sage is inviting Alex to her college graduation party. She does not want any presents.,Somewhat agree,Somewhat agree,Somewhat disagree,I rarely invite people or receive invitations to parties,Bailey is inviting Jules and her brother if available.,Strongly agree,Somewhat agree,Somewhat disagree,I rarely invite people or receive invitations to parties,Riley asked Arden if they bought Snowflake. A party is also being held.,Strongly agree,Somewhat agree,Somewhat disagree,I rarely invite people or receive invitations to parties,Rory was inviting his parents on a boat for dinner and sailing.,Somewhat agree,Strongly agree,Somewhat disagree,I rarely invite people or receive invitations to parties,Quinn wrote email to Dave about Spot dying. He spelled dying wrong though. He was trying to show support;,Somewhat agree,Strongly agree,Somewhat agree,I am a long time pet owner,Dave was writing Maddie about the death of her rabbit. He was trying to show her support.,Strongly agree,Somewhat agree,Somewhat agree,I am a long time pet owner,Angie's cat dying. The person writing the email was trying to comfort Angie.,Somewhat agree,Strongly agree,Strongly agree,I am a long time pet owner,Jon wrote Maddie an email about her dog dying.,Somewhat agree,Strongly agree,Somewhat agree,I am a long time pet owner,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,The following email was written by [name] with the help of a smart autocomplete system,43539
3/8/2021 3:34,3/8/2021 3:46,100,TRUE,3/8/2021 3:46,R_2D6x0BkrENscULg,,,,,anonymous,EN,38,Male,White,Growing tomatoes inside over winter.  ,Strongly agree,Somewhat agree,Strongly disagree,I am not sure but it seems right,He was asking for student discounts on a Raspberry Pi.  ,Strongly agree,Somewhat agree,Strongly disagree,I am not sure but it seems right,London wanted a discount for services offered by this company.  ,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I am not sure,Kyle was inquiring about a hobby gene editing kit.  ,Strongly agree,Somewhat agree,Strongly disagree,I know this is true,A graduation party.  ,Strongly agree,Strongly agree,Strongly disagree,I often invite people or receive invitations to parties,Bailey invited Jules to their birthday party.  ,Strongly agree,Strongly agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,A party for an IPO.,Strongly agree,Strongly agree,Strongly disagree,I often invite people or receive invitations to parties,Rory invited his parents to his and Catherine's first anniversary party.  ,Strongly agree,Strongly agree,Strongly disagree,I often invite people or receive invitations to parties,Quinn was expressing their regret over spot being dead.    ,Somewhat agree,Somewhat agree,Somewhat agree,I help look after pet(s) occasionaly,Dave was expressing his condolences over Maddie's loss of her rabbit.  ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I help look after pet(s) occasionaly,John was expressing sympathies to Angie over the loss of her cat.  ,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Jon expressing his sorrow for Maddie losing her dog.  ,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,The following email was written by [name] with the help of a smart autocomplete system,21047
3/8/2021 3:35,3/8/2021 3:48,100,TRUE,3/8/2021 3:48,R_2uVeAdsOMdxO6Xi,,,,,anonymous,EN,37,Female,Asian,its a query about growing plant indoor.,Somewhat agree,Strongly agree,Somewhat disagree,I know this is true,its about to buy product and asking for any discounts on products.,Somewhat agree,Strongly agree,Somewhat disagree,I am not sure but it seems right,Its an offer expecting for suppliers products.,Somewhat agree,Somewhat agree,Neither agree nor disagree,I am not sure but it seems right,its about buying products seeing the company's catalogue.,Somewhat agree,Somewhat agree,Somewhat agree,I know this is true,its about a small get together for he graduating from college.,Strongly agree,Strongly agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,its an invitation for a birthday party .,Somewhat agree,Strongly agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,its about a investors party. fund raising completion party. ,Strongly agree,Somewhat agree,Strongly disagree,I sometimes invite people or receive invitations to parties,its invitation for an anniversary party for friends and parents.,Strongly agree,Somewhat agree,Strongly disagree,I sometimes invite people or receive invitations to parties,its a mail for loss for spot dieing.,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,I am a beginner pet owner,its about a pet rabbits death and how they miss it.,Neither agree nor disagree,Somewhat agree,Somewhat agree,I am a beginner pet owner,Its about somebody's lovable cat's death and how he miss it.,Somewhat agree,Strongly agree,Strongly agree,I am a beginner pet owner,its about a person's pet dog's death. and how he miss that.,Somewhat agree,Strongly agree,Strongly agree,I am a beginner pet owner,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,The following email was written by [name] with the help of a smart autocomplete system,27769
3/8/2021 3:28,3/8/2021 3:53,100,TRUE,3/8/2021 3:53,R_1eJDoYCK57MT5Rt,,,,,anonymous,EN,35,Female,Asian,Drew is asking to the some of the company website customer care is it possible to grow tomatoes inside in apartment in the winter.,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I am not sure,Charlie wants few Raspberry pcs for a research project and he is asking for students discounts to the shop person,Somewhat agree,Neither agree nor disagree,Strongly disagree,I am not sure but it seems right,Velocity Inc company branch manager talking about the new exploring alternative suppliers their stationery products ,Strongly agree,Somewhat agree,Neither agree nor disagree,I am not sure but it seems right,"Kyle is a biohacker hobbyist and he is explore the CRISPR Cas9 gene editing modules,",Strongly disagree,Somewhat agree,Neither agree nor disagree,I am not sure but it seems right,"I am celebrating graduating occasion, next month for that I'm inviting close friends and parents to the get together at beachouse.",Strongly agree,Strongly agree,Strongly disagree,I rarely invite people or receive invitations to parties,"Both are meeting after a 8 months back, so Bailey invites for her birthday party to come",Strongly agree,Strongly agree,Strongly disagree,I rarely invite people or receive invitations to parties,Arden is fundraiser she is raising fund for Snowflake IPO to the party,Strongly agree,Somewhat agree,Neither agree nor disagree,I rarely invite people or receive invitations to parties,Catherine and her Husband's first anniversary party inviting Catherine's parents to the party.,Strongly agree,Strongly agree,Strongly disagree,I rarely invite people or receive invitations to parties,Dave and his friend talking about Spot dieing and memories ,Somewhat agree,Strongly agree,Neither agree nor disagree,I am a long time pet owner,Dave talking about the rabbit that cute pet but unfortunately he is no more.,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,John is sharing sadness of Angie's cat death.,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Jon shares his sadness to the Maddie's dog has died,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,The following email was written by [name] with the help of a smart autocomplete system,89701
3/8/2021 3:51,3/8/2021 4:09,100,TRUE,3/8/2021 4:09,R_1C9XAV6s7nVG5Ox,,,,,anonymous,EN,38,Male,Asian,A website visitor interested in learning about growing tomatoes indoors.,Somewhat disagree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,A prospective customer looking for student discounts for a computer purchase.,Neither agree nor disagree,Somewhat agree,Somewhat agree,I am not sure,A potential customer sending an inquiry about bulk ordering of stationery products on a regular basis.,Somewhat agree,Somewhat disagree,Neither agree nor disagree,I am not sure but it seems right,A customer who has little common sense asking questions about processing and delivery times for an order.,Somewhat disagree,Strongly agree,Neither agree nor disagree,I am not sure but it seems wrong,An invitation to a graduation party from a friend. The party has a rainforest theme and will be at a beachouse.,Somewhat agree,Somewhat agree,Neither agree nor disagree,I sometimes invite people or receive invitations to parties,An acquaintance sent me an invitation to a birthday party.,Somewhat agree,Somewhat agree,Somewhat agree,I sometimes invite people or receive invitations to parties,An invitation to a company party and announcement event for a startup that the recipient supported.,Somewhat agree,Somewhat agree,Strongly agree,I sometimes invite people or receive invitations to parties,A small party to the anniversary of a couple held on a boat.,Somewhat agree,Somewhat agree,Neither agree nor disagree,I sometimes invite people or receive invitations to parties,A message of support after learning that Spot had passed away.,Somewhat agree,Somewhat agree,Somewhat agree,I am a long time pet owner,A message of support after learning that a beloved rabbit had passed away.,Somewhat agree,Somewhat agree,Somewhat agree,I am a long time pet owner,A meesage of support after learning about the death of a beloved pet.,Strongly agree,Somewhat agree,Somewhat agree,I am a long time pet owner,A message of support after learning that a pet dog had passed away.,Somewhat agree,Somewhat agree,Somewhat agree,I am a long time pet owner,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,The following email was written by [name] with the help of a smart autocomplete system,94472
3/8/2021 4:16,3/8/2021 4:43,100,TRUE,3/8/2021 4:43,R_vp2B770s9nUxRfz,,,,,anonymous,EN,45,Male,Asian,Tomato harvesting in apartment,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,I am not sure but it seems right,Charlie wanted to buy Respberry Pis and asked for any student discount,Strongly agree,Neither agree nor disagree,Strongly disagree,I know this is true,Manager of Velocity looking for suppliers for their stationery products,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I am not sure but it seems right,"Kyle is a hobbyist biohacker and wanted to buy the advance kit of CRISPR Cas9 gene and asked the details of delivery, charge, and cancellation.",Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,I am not sure,Get together for graduating college and inviting.,Strongly agree,Neither agree nor disagree,Strongly disagree,I rarely invite people or receive invitations to parties,Inviting for a birthday party,Somewhat agree,Somewhat disagree,Strongly disagree,I rarely invite people or receive invitations to parties,Inviting for a fundraiser party to buy an IPO,Strongly agree,Somewhat agree,Strongly disagree,I rarely invite people or receive invitations to parties,Inviting for first anniversary of Rory and Catherine,Somewhat agree,Neither agree nor disagree,Strongly disagree,I rarely invite people or receive invitations to parties,Grievance of Spot,Somewhat agree,Somewhat agree,Somewhat agree,I help look after pet(s) occasionaly,Grievance of rabbit and telling what it did,Somewhat agree,Somewhat agree,Neither agree nor disagree,I help look after pet(s) occasionaly,Cat's death affect,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I help look after pet(s) occasionaly,Death of dog.,Somewhat agree,Somewhat agree,Somewhat agree,I help look after pet(s) occasionaly,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,The following email was written by [name] with the help of a smart autocomplete system,75634
3/8/2021 4:33,3/8/2021 4:52,100,TRUE,3/8/2021 4:52,R_2Tz09ZiRjRDT2P5,,,,,anonymous,EN,56,Female,White,Drew wants to know whether tomatoes can be grown in an apartment and is seeking information about it. ,Somewhat agree,Strongly agree,Strongly disagree,I know this is true,Charlie wants a discount for my product.  He is a student looking for cheaper product. ,Somewhat agree,Somewhat disagree,Strongly disagree,I am not sure but it seems right,London wants to know how much I charge for bulk.  They want me as their vendor if it all works out.,Strongly agree,Somewhat agree,Strongly disagree,I know this is true,"Kyle wants to buy my product and wants to know the delivery times, whether it'll be charged instantly and cancellation order policy.  ",Somewhat disagree,Strongly disagree,Somewhat agree,I am not sure but it seems wrong,Sage is throwing a rainforest themed party at his beachouse and I am invited. ,Strongly agree,Strongly agree,Strongly disagree,I rarely invite people or receive invitations to parties,Bailey is inviting me to his birthday party and invited me.  Says I can bring my brother.  ,Strongly agree,Strongly agree,Strongly disagree,I rarely invite people or receive invitations to parties,Arden is inviting me to a fundraiser party and invited me.  Wants me to promote his product.  ,Strongly agree,Strongly agree,Somewhat agree,I rarely invite people or receive invitations to parties,My child is inviting me to their anniversary party on a boat and wanted to know what my availabilities were first before they make plans.,Strongly agree,Strongly agree,Strongly disagree,I rarely invite people or receive invitations to parties,Quinn is sharing sympathies with my pet's death and letting me know he's thinking of me. ,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Dave is sending his sympathies about my pet rabbit.  He is letting me know he cares. ,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,John is giving me condolence about my cat's death.  Sending me wishes that he is thinking of me and the cat. ,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Jon is sending warm sympathies about my loss of a pet.  Letting me know he'll be there for me. ,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,The following email was written by [name] with the help of a smart autocomplete system,98064
