StartDate,EndDate,Progress,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q134,Q138,Q140,Q85,Q224_1,Q224_2,Q224_3,Q227,Q252,Q253_1,Q253_2,Q253_3,Q230,Q256,Q257_1,Q257_2,Q257_3,Q231,Q260,Q261_1,Q261_2,Q261_3,Q232,Q268,Q269_1,Q269_2,Q269_3,Q228,Q272,Q273_1,Q273_2,Q273_3,Q235,Q276,Q277_1,Q277_2,Q277_3,Q236,Q280,Q281_1,Q281_2,Q281_3,Q237,Q292,Q293_1,Q293_2,Q293_3,Q229,Q296,Q297_1,Q297_2,Q297_3,Q239,Q300,Q301_1,Q301_2,Q301_3,Q240,Q304,Q305_1,Q305_2,Q305_3,Q241,Q178_1,Q178_2,Q178_3,Q178_4,Q178_5,Q242,RandomID
Start Date,End Date,Progress,Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,How old are you (in years)?,What is your gender?,Please specify your ethnicity (please select all that apply),What was this email about? Please write in your own words. Do not copy and paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy / paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy / paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy / paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you expect the customer to buy this product?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer concerned that they ask all adequate information from customer support?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Is the customer hiding any information that they already know?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy / paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy / paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy / paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy / paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is capable of hosting this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender will actually hold this party?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender is hiding any information?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy / paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy / paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy / paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,What was this email about? Please write in your own words and do not copy / paste.,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender actually understands the loss of their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you believe that the sender is actually concerned for their friend?,Please answer the following questions based on the email you just read assuming that you were the receiver of this e-mail. Please make sure to read each question carefully. - Do you think the sender actually believed in what they said?,Please pick the option that most accurately describes your knowledge about the contents of this email?,"Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - Most people can be trusted","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - Computers can eliminate a lot of tedious work for people.","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - Computers are lessening the importance of too many jobs now done by humans.","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - I am interested in using artificially intelligent systems in my daily life","Please answer the following questions. Once done, press the next button to complete this survey and get your survey ID - People like me will suffer if Artificial Intelligence is used more and more",You were presented a few emails in this survey. Please pick the option that shows the general format of the bolded instruction sentence preceding each email,RandomID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID247_TEXT""}","{""ImportId"":""QID249""}","{""ImportId"":""QID250""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID340_1""}","{""ImportId"":""QID340_2""}","{""ImportId"":""QID340_3""}","{""ImportId"":""QID343""}","{""ImportId"":""QID252_TEXT""}","{""ImportId"":""QID253_1""}","{""ImportId"":""QID253_2""}","{""ImportId"":""QID253_3""}","{""ImportId"":""QID346""}","{""ImportId"":""QID256_TEXT""}","{""ImportId"":""QID257_1""}","{""ImportId"":""QID257_2""}","{""ImportId"":""QID257_3""}","{""ImportId"":""QID347""}","{""ImportId"":""QID260_TEXT""}","{""ImportId"":""QID261_1""}","{""ImportId"":""QID261_2""}","{""ImportId"":""QID261_3""}","{""ImportId"":""QID350""}","{""ImportId"":""QID268_TEXT""}","{""ImportId"":""QID269_1""}","{""ImportId"":""QID269_2""}","{""ImportId"":""QID269_3""}","{""ImportId"":""QID344""}","{""ImportId"":""QID272_TEXT""}","{""ImportId"":""QID273_1""}","{""ImportId"":""QID273_2""}","{""ImportId"":""QID273_6""}","{""ImportId"":""QID351""}","{""ImportId"":""QID276_TEXT""}","{""ImportId"":""QID277_1""}","{""ImportId"":""QID277_2""}","{""ImportId"":""QID277_3""}","{""ImportId"":""QID352""}","{""ImportId"":""QID280_TEXT""}","{""ImportId"":""QID281_1""}","{""ImportId"":""QID281_2""}","{""ImportId"":""QID281_3""}","{""ImportId"":""QID353""}","{""ImportId"":""QID292_TEXT""}","{""ImportId"":""QID293_1""}","{""ImportId"":""QID293_2""}","{""ImportId"":""QID293_3""}","{""ImportId"":""QID345""}","{""ImportId"":""QID296_TEXT""}","{""ImportId"":""QID297_1""}","{""ImportId"":""QID297_2""}","{""ImportId"":""QID297_3""}","{""ImportId"":""QID355""}","{""ImportId"":""QID300_TEXT""}","{""ImportId"":""QID301_1""}","{""ImportId"":""QID301_2""}","{""ImportId"":""QID301_3""}","{""ImportId"":""QID356""}","{""ImportId"":""QID304_TEXT""}","{""ImportId"":""QID305_1""}","{""ImportId"":""QID305_2""}","{""ImportId"":""QID305_3""}","{""ImportId"":""QID357""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID182_2""}","{""ImportId"":""QID182_3""}","{""ImportId"":""QID182_4""}","{""ImportId"":""QID182_5""}","{""ImportId"":""QID358""}","{""ImportId"":""RandomID""}"
3/8/2021 1:07,3/8/2021 1:27,100,TRUE,3/8/2021 1:27,R_1gBAyNS17Og1yzV,,,,,anonymous,EN,44,Male,White,Asking about the chances of growing tomatoes well indoors during winter months.,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I know this is true,A student  customer asking if there is a discount offered to students.,Somewhat agree,Somewhat agree,Somewhat disagree,I know this is true,A potential customer is writing to ask about discounts for large orders. He has provided a sample of his typical purchase.,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I know this is true,"Customer inquiring about billing, shipping speed, cancellation policy for a product from a biochemical company after seeing the product featured in a documentary.",Somewhat agree,Somewhat agree,Somewhat disagree,I know this is true,An invitation to a Rain forest themed graduation celebration for a soon to be college graduate. No gifts expected or wanted.,Strongly agree,Strongly agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,An invitation to a birthday party hosted by the author for the author.,Somewhat agree,Strongly agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,An invitation to a party celebrating an IPO and conclusion of fundraising effort. An inquiry as to whether there was success in investing and  Arden declared there would be an announcement made at said party.,Strongly agree,Strongly agree,Neither agree nor disagree,I sometimes invite people or receive invitations to parties,An anniversary celebration aboard a boat and a check of availibility.,Strongly agree,Strongly agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,Author is offering condolences on the loss of a pet.,Somewhat agree,Strongly agree,Somewhat agree,I am a long time pet owner,The departed rabbit of a friend.,Somewhat agree,Somewhat agree,Neither agree nor disagree,I am a long time pet owner,Condolences on the passing of a pet cat named Fluffy.,Neither agree nor disagree,Somewhat agree,Somewhat agree,I am a long time pet owner,The loss of a pet.,Somewhat agree,Somewhat agree,Somewhat agree,I am a long time pet owner,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,The following email was written by {name},67275
3/8/2021 1:13,3/8/2021 1:31,100,TRUE,3/8/2021 1:31,R_2U3OhAcs9RExfjj,,,,,anonymous,EN,29,Male,White,The email about looking for plant the tomato in apartment.,Somewhat agree,Strongly agree,Strongly agree,I know this is true,The email about to offer any student discounts.,Somewhat agree,Somewhat agree,Strongly agree,I am not sure but it seems right,The email about  invoice asking for supply the product.,Strongly agree,Somewhat agree,Somewhat agree,I am not sure,The email about to purchase the Advanced Kit.,Somewhat agree,Strongly agree,Strongly agree,I am not sure but it seems right,The email about invite the friends and family for graduation party.,Strongly agree,Somewhat agree,Somewhat agree,I sometimes invite people or receive invitations to parties,The email about inviting the birthday party celebration.,Strongly agree,Somewhat agree,Strongly agree,I sometimes invite people or receive invitations to parties,The email about inviting fundraiser completion party.,Somewhat agree,Strongly agree,Strongly agree,I sometimes invite people or receive invitations to parties,The email about anniversary celebration want to check the availability time.,Somewhat agree,Strongly agree,Somewhat agree,I sometimes invite people or receive invitations to parties,The email about feeling sorry for loss the Jimmy.,Strongly agree,Somewhat agree,Somewhat agree,I help look after pet(s) occasionaly,The email about sad to losing the rabbit.,Strongly agree,Somewhat agree,Somewhat agree,I help look after pet(s) occasionaly,The email about feel sorry for cat's death.,Strongly agree,Strongly agree,Somewhat agree,I help look after pet(s) occasionaly,The email about sad to losing the dog.,Strongly agree,Somewhat agree,Somewhat agree,I help look after pet(s) occasionaly,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,The following email was written by {name},54476
3/8/2021 1:07,3/8/2021 1:33,100,TRUE,3/8/2021 1:33,R_21icqd1TwXAJoEH,,,,,anonymous,EN,34,Male,Asian,Its a letter about farming tomato.,Somewhat agree,Somewhat agree,Somewhat agree,I am not sure but it seems right,Its a letter from a student and he ask some help with her team for purchase. ,Somewhat agree,Somewhat agree,Somewhat disagree,I know this is true,Its a letter about help wanted to purchase product for his teammates. ,Somewhat agree,Somewhat agree,Somewhat agree,I know this is true,letter about purchase and order placing.,Somewhat agree,Somewhat agree,Somewhat agree,I am not sure but it seems right,This letter about inviting his friend for party.,Somewhat agree,Somewhat agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,Letter to invite birthday party.,Strongly agree,Strongly agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,It is a advertise or promotion to buy letter.,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I sometimes invite people or receive invitations to parties,Its a invitation to attend the party of his own parent.,Somewhat agree,Somewhat agree,Strongly disagree,I sometimes invite people or receive invitations to parties,Its letter about death. so sad.,Strongly agree,Strongly agree,Strongly agree,I am a beginner pet owner,letter about loss of pet.,Somewhat agree,Strongly agree,Strongly agree,I am a beginner pet owner,Its a letter about the death of cat. Its so sad. ,Strongly agree,Somewhat agree,Strongly agree,I am a beginner pet owner,Its letter about loss of dog. so sad.,Strongly agree,Somewhat agree,Strongly agree,I am a beginner pet owner,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,The following email was written by {name},11423
3/8/2021 1:06,3/8/2021 1:34,100,TRUE,3/8/2021 1:34,R_BPOUDkFbuEmOupr,,,,,anonymous,EN,29,Male,White,The person is looking for a website that sells tomato plants to grow and the person is willing to buy and the person is having an doubt about the plant whether it will grow in winter apartment or not?,Neither agree nor disagree,Strongly agree,Somewhat agree,I am not sure but it seems right,The mail is from the student who is looking for a Raspberry pics for his project and he is looking for some discounts and he needs a reply for more informations.,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I am not sure,The mail is from the branch manager of velocity who is offering an deal because of the shutdown of current vendors so the branch manager is offering an deal for the person. ,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I am not sure but it seems right,The mail is about the person who is interested in buying an advanced kit that kit is useful for the person in many ways and the person asking details about the product.,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I am not sure but it seems right,The mail is about the person who is inviting his friends and family for the graduation.,Somewhat agree,Somewhat agree,Neither agree nor disagree,I sometimes invite people or receive invitations to parties,The mail is about the person who is planning for a birthday party and inviting his friend to the birthday party that is around 9 pm.,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I sometimes invite people or receive invitations to parties,It is about the person who is willing to but the IPO of a stock snowflake and the person is excited to buy  the stock,Somewhat agree,Somewhat agree,Neither agree nor disagree,I sometimes invite people or receive invitations to parties,The mail is about the invitation for the anniversary party and it is about the dinner. ,Somewhat agree,Neither agree nor disagree,Somewhat agree,I sometimes invite people or receive invitations to parties,The mail is about spot dieing and it is about the loss and the person share his memories with google photos .,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I help look after pet(s) occasionaly,It is about the condolence message for the person who is losing his rabbit that and shares his memories with rabbit.,Neither agree nor disagree,Somewhat agree,Somewhat agree,I help look after pet(s) occasionaly,It is about the cat's death it is a condolence message,Neither agree nor disagree,Somewhat agree,Somewhat agree,I am a beginner pet owner,The person shares his condolence message to the person who is lossed his dog and the mail is about his dog love.,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I help look after pet(s) occasionaly,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,The following email was written by {name},99600
3/8/2021 1:21,3/8/2021 1:37,100,TRUE,3/8/2021 1:37,R_2YWnM3KmIixT9Cd,,,,,anonymous,EN,55,Female,Asian,This person wants to know if he can grow tomatoes in the winter in his apartment.  He wants to know if he needs lights and what type of tomatoes he should grow.,Strongly agree,Strongly agree,Strongly agree,I know this is true,This student wants to buy a pie for a project.  He wants to know if they are offering any discounts.,Strongly agree,Strongly agree,Strongly agree,I know this is true,This person is inquiring about our service of fulfilment of supplies of office product.  He sent a sameple invoice that shows the pricing so we would have an idea what he's looking for.,Strongly agree,Strongly agree,Strongly agree,I know this is true,This person saw my company's technology and products on a documentary.  He wants to inquire about whether he can order a product individually rather than in bulk. He also would like to know if he needs to pay up front or at the time of delivery. He would like to know the cancellation policies.,Strongly agree,Strongly agree,Strongly agree,I know this is true,Sage is graduating from college and is throwing a graduation party at her beach house. It is an informal themed party (rainforest).  She does not any gifts and the party starts at 8.,Strongly agree,Strongly agree,Strongly disagree,I never invite people or receive invitations to parties,It is an invitation for a birthday party from someone I met 8 months ago.  This person wants me to bring my brother as well. She said I can come late because I get out of work late.,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,This person wants to invite someone who was interested in an IPO for his firm.  He would like to invite her to a party that will be hosted on a rooftop.,Strongly agree,Strongly agree,Strongly agree,I often invite people or receive invitations to parties,The son is throwing a party on a boat. The wife's parents are going to be there.  He wants to check my avilability before he decides.,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,He is sending a note to comfort his friend because her dog died. He is also sending photos.,Somewhat agree,Somewhat agree,Somewhat agree,I am a long time pet owner,He feels bad about someone's rabbit that died.  He is mailing carrots to the former pet owner.,Somewhat disagree,Somewhat disagree,Somewhat disagree,I am a long time pet owner,This is a note to acknowledge someone's pet that died. It is intended to comfort the person that lost her pet.,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,He feels bad about his friend's dog that died so he wrote a note to comfort her.,Somewhat disagree,Somewhat agree,Somewhat agree,I am a long time pet owner,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,The following email was written by {name},91260
3/8/2021 1:23,3/8/2021 1:42,100,TRUE,3/8/2021 1:42,R_3JmhmgMcUdtdbpg,,,,,anonymous,EN,45,Female,White,They are wanting to know if you can grow tomatoes inside in the winter and how it works.,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,I am not sure,A person wants to by Raspberry Pis for a project they are working on for school. They are hoping to get a discount.,Somewhat agree,Somewhat disagree,Somewhat disagree,I am not sure but it seems right,It's from a branch manager from a company called Velocity and they want some stationary products. They are asking about bulk pricing.,Somewhat agree,Somewhat disagree,Somewhat disagree,I am not sure but it seems right,It is about selling some kind of gene kit. The person wants to know about it and how long it takes to get there.,Strongly agree,Somewhat agree,Neither agree nor disagree,I am not sure but it seems right,Someone is graduating college and having a little party and they are inviting the recipient.,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,They are having a party but haven't seen the recipient in awhile. They want the person to bring their brother.,Strongly agree,Strongly agree,Somewhat agree,I sometimes invite people or receive invitations to parties,It's about a Snowflake IPO which I'm not sure what that is. They are having a fundraiser completion party. And some kind of announcement to make.,Strongly agree,Strongly agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,It's about a mother and daughter and the mom (me) has been invited to an anniversary party. They are going sailing and dinner.,Strongly agree,Strongly agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,A dog seems to have died and it seems like a condolence letter. They are going to share some pics of the dog.,Somewhat agree,Somewhat agree,Somewhat agree,I am a long time pet owner,A rabbit has died and the author is reminiscing and thinking about the times with the rabbit. ,Somewhat agree,Somewhat agree,Somewhat agree,I am a long time pet owner,A cat has died and they are saying sorry about it and that the cat had a good life.,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Its about the loss of a dog and how bad the year has been.,Somewhat agree,Somewhat agree,Somewhat agree,I am a long time pet owner,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,The following email was written by {name},78873
3/8/2021 1:24,3/8/2021 1:42,100,TRUE,3/8/2021 1:42,R_2wbOz7WE3oy7C37,,,,,anonymous,EN,44,Male,White,Someone looking to grow tomatoes in an inside space.,Somewhat agree,Strongly agree,Strongly disagree,I know this is true,Some kid looking to buy some items for a class.,Neither agree nor disagree,Somewhat disagree,Strongly disagree,I am not sure but it seems right,A company rep. is looking to buy stationery products.,Strongly agree,Strongly agree,Strongly disagree,I know this is true,Some guy is looking to buy so bio research supplies from a supplier.,Somewhat agree,Somewhat agree,Neither agree nor disagree,I am not sure but it seems right,Sage or Alex is throwing a party.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I never invite people or receive invitations to parties,Someone inviting another and their brother to a party.,Strongly agree,Strongly agree,Strongly agree,I rarely invite people or receive invitations to parties,Email to a friend inviting them to a business party.,Strongly agree,Strongly agree,Strongly agree,I often invite people or receive invitations to parties,Rory is inviting his parents to an anniversary party on his boat.,Strongly agree,Strongly agree,Strongly disagree,I often invite people or receive invitations to parties,Paying respects to a lost pet.,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,The loss of a pet rabbit and showing respect.,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,John is consoling Angie about her dead cat.,Strongly agree,Strongly agree,Strongly agree,I do not have a pet but often encounter one,The loss of a dog and sorrow.,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,The following email was written by {name},85362
3/8/2021 1:35,3/8/2021 1:51,100,TRUE,3/8/2021 1:51,R_3HLXHnwhjX97Fvv,,,,,anonymous,EN,54,Male,Asian,Drew writes to a website seeking information about growing tomatoes inside in winter in an apartment and if it needed a grow light.,Strongly disagree,Somewhat disagree,Neither agree nor disagree,I am not sure but it seems wrong,Charlie wants to buy Raspberry Pis and wanted student discounts.,Somewhat agree,Somewhat agree,Neither agree nor disagree,I am not sure but it seems right,The branch manager of a company asks for sample invoice to understand the pricing of their stationery products as they were looking for new vendors.,Somewhat agree,Neither agree nor disagree,Somewhat disagree,I am not sure but it seems right,Kyle is asking for the time it requires to buy a product and the charges it would incur. ,Somewhat agree,Somewhat agree,Somewhat disagree,I am not sure but it seems right,Sage is inviting Alex to her graduation party and sends him the venue and time. She also informs him about the theme.,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,Bailey sends Jules a birthday invite and informs her of the time and asks her to bring her brother along as well.,Strongly agree,Strongly agree,Strongly disagree,I sometimes invite people or receive invitations to parties,Arden invited Riley who was their early investor to a fundraising party for the Snowflake IPO and gives the venue and mentions that he could talk nicely about the company.,Somewhat agree,Strongly agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,Rory is inviting his mother on his first anniversary party on a boat. He wants to know when she would be available to appropriately plan for the event.,Strongly agree,Somewhat agree,Somewhat disagree,I sometimes invite people or receive invitations to parties,Quinn is sending his condolences to Elliott whose dog had died. He also wants to share a Google photos album with him.,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Dave is sending his condolences to Maddie whose rabbit had passed away. ,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Angie is sending condolences to John about his cat's death.,Strongly agree,Somewhat agree,Strongly agree,I am a long time pet owner,Jon sympathizes with Maddie regarding her dog which had died. ,Strongly agree,Strongly agree,Strongly agree,I am a long time pet owner,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,The following email was written by {name},89828
